Date,SP500_Close,SMA_3,SMA_10
2004-11-01,1173.8199462890625,,
2004-12-01,1211.9200439453125,,
2005-01-01,1181.27001953125,1189.0033365885417,
2005-02-01,1203.5999755859375,1198.9300130208333,
2005-03-01,1180.5899658203125,1188.4866536458333,
2005-04-01,1156.8499755859375,1180.3466389973958,
2005-05-01,1191.5,1176.3133138020833,
2005-06-01,1191.3299560546875,1179.893310546875,
2005-07-01,1234.1800537109375,1205.6700032552083,
2005-08-01,1220.3299560546875,1215.2799886067708,1194.5389892578125
2005-09-01,1228.81005859375,1227.7733561197917,1200.0380004882813
2005-10-01,1207.010009765625,1218.7166748046875,1199.5469970703125
2005-11-01,1249.47998046875,1228.433349609375,1206.3679931640625
2005-12-01,1248.2900390625,1234.9266764322917,1210.8369995117187
2006-01-01,1280.0799560546875,1259.2833251953125,1220.7859985351563
2006-02-01,1280.6600341796875,1269.6766764322917,1233.1670043945312
2006-03-01,1294.8699951171875,1285.2033284505208,1243.50400390625
2006-04-01,1310.6099853515625,1295.3800048828125,1255.4320068359375
2006-05-01,1270.0899658203125,1291.8566487630208,1259.022998046875
2006-06-01,1270.199951171875,1283.63330078125,1264.0099975585938
2006-07-01,1276.6600341796875,1272.316650390625,1268.7949951171875
2006-08-01,1303.8199462890625,1283.5599772135417,1278.4759887695313
2006-09-01,1335.8499755859375,1305.4433186848958,1287.11298828125
2006-10-01,1377.93994140625,1339.2032877604167,1300.077978515625
2006-11-01,1400.6300048828125,1371.4733072916667,1312.1329833984375
2006-12-01,1418.300048828125,1398.9566650390625,1325.8969848632812
2007-01-01,1438.239990234375,1419.0566813151042,1340.233984375
2007-02-01,1406.8199462890625,1421.1199951171875,1349.85498046875
2007-03-01,1420.8599853515625,1421.9733072916667,1364.931982421875
2007-04-01,1482.3699951171875,1436.6833089192708,1386.1489868164062
2007-05-01,1530.6199951171875,1477.9499918619792,1411.5449829101562
2007-06-01,1503.3499755859375,1505.4466552734375,1431.4979858398438
2007-07-01,1455.27001953125,1496.413330078125,1443.439990234375
2007-08-01,1473.989990234375,1477.5366617838542,1453.0449951171875
2007-09-01,1526.75,1485.336669921875,1465.6569946289062
2007-10-01,1549.3800048828125,1516.7066650390625,1478.764990234375
2007-11-01,1481.1400146484375,1519.0900065104167,1483.0549926757812
2007-12-01,1468.3599853515625,1499.6266682942708,1489.2089965820312
2008-01-01,1378.550048828125,1442.683349609375,1484.9780029296876
2008-02-01,1330.6300048828125,1392.5133463541667,1469.80400390625
2008-03-01,1322.699951171875,1343.9600016276042,1449.0119995117188
2008-04-01,1385.5899658203125,1346.306640625,1437.2359985351563
2008-05-01,1400.3800048828125,1369.556640625,1431.7469970703125
2008-06-01,1280.0,1355.3233235677083,1412.347998046875
2008-07-01,1267.3800048828125,1315.9200032552083,1386.4109985351563
2008-08-01,1282.8299560546875,1276.7366536458333,1359.7559936523437
2008-09-01,1166.3599853515625,1238.8566487630208,1328.2779907226563
2008-10-01,968.75,1139.3133138020833,1278.3169921875
2008-11-01,896.239990234375,1010.4499918619791,1230.085986328125
2008-12-01,903.25,922.7466634114584,1187.3479858398437
2009-01-01,825.8800048828125,875.1233317057291,1137.6659912109376
2009-02-01,735.0900268554688,821.4066772460938,1072.6159973144531
2009-03-01,797.8699951171875,786.2800089518229,1012.3649963378906
2009-04-01,872.8099975585938,801.92333984375,971.64599609375
2009-05-01,919.1400146484376,863.2733357747396,936.8219970703125
2009-06-01,919.3200073242188,903.7566731770834,900.4710021972656
2009-07-01,987.47998046875,941.9800008138021,882.5830017089844
2009-08-01,1020.6199951171876,975.8066609700521,887.7700012207031
2009-09-01,1057.0799560546875,1021.7266438802084,903.8539978027344
2009-10-01,1036.18994140625,1037.9632975260417,917.1479919433593
2009-11-01,1095.6300048828125,1062.9666341145833,944.1229919433594
2009-12-01,1115.0999755859375,1082.306640625,982.1239868164063
2010-01-01,1073.8699951171875,1094.8666585286458,1009.7239868164063
2010-02-01,1104.489990234375,1097.8199869791667,1032.8919860839844
2010-03-01,1169.4300537109375,1115.9300130208333,1057.9209899902344
2010-04-01,1186.68994140625,1153.5366617838542,1084.6579833984374
2010-05-01,1089.4100341796875,1148.510009765625,1094.8509887695313
2010-06-01,1030.7099609375,1102.2699788411458,1095.8599853515625
2010-07-01,1101.5999755859375,1073.9066569010417,1100.3119873046876
2010-08-01,1049.3299560546875,1060.546630859375,1101.6259887695312
2010-09-01,1141.199951171875,1097.3766276041667,1106.1829833984375
2010-10-01,1183.260009765625,1124.5966389973958,1112.9989868164062
2010-11-01,1180.550048828125,1168.336669921875,1123.6669921875
2010-12-01,1257.6400146484375,1207.1500244140625,1138.9819946289062
2011-01-01,1286.1199951171875,1241.4366861979167,1150.6509887695313
2011-02-01,1327.219970703125,1290.32666015625,1164.7039916992187
2011-03-01,1325.8299560546875,1313.056640625,1188.3459838867188
2011-04-01,1363.6099853515625,1338.8866373697917,1221.635986328125
2011-05-01,1345.199951171875,1344.8799641927083,1245.9959838867187
2011-06-01,1320.6400146484375,1343.1499837239583,1273.1269897460938
2011-07-01,1292.280029296875,1319.3733317057292,1288.2349975585937
2011-08-01,1218.8900146484375,1277.27001953125,1291.797998046875
2011-09-01,1131.4200439453125,1214.1966959635417,1286.8849975585938
